100nF,"C107,C16,C25,C65,C66,C18,C22,C7,C9",0603_C
LM4041DIM3-1.2,D1,DBZ_R-PDSO-G3
300?/1%,R102,0603_R
"61,9?",R103,0603_R
10k?,"R104,R71,R11,R2,R3",0603_R
31k6/1%,R105,0603_R
100k?,"R107,R108,R80",0603_R
"4,7k?","R109,R78,R68",0603_R
470k?,R110,0603_R
39k?,"R72,R73",0603_R
"6,8k?",R79,0603_R
CJ125_32,IC3,TQFP32-08
18pF,"C2,C3",0603_C
1uF,"C26,C5,C10",0603_C
ABM3-16.000MHZ-D2Y-T,Q3,ABM3
33nF,"C82,C45",0603_C
BAT54S,"D15,D3",SOT23
1k?,"R53,R54,R1,R4",0603_R
blau,"LED2,LED3,LED1",SML0805
1nF,C1,0603_C
SSB44-E3/52T,D2,MURS120
SMBJ22A,D4,SMBJ
B72530V1140S262,R23,CT_CN1210
TAJD686*025#NJ,C4,SMC_D
TAJD336*035#NJ,C6,SMC_D
BD9G101G,IC2,SSOT6
15nF,C46,0603_C
680?,R57,0603_R
"3,9k?",R58,0603_R
1235AS-H-6R8M,L4,1235AS-H-6R8M
RB060MM-60,D5,RB060MM-60
VNS3NV04DP,IC4,SO8
"2,2nF",C8,0603_C
MEGA328,IC1,TQFP32-08
MCP4725,IC5,SOT23-6
